ship,cost,has_cost,url
Low Altitude Assault Transport/carrier/Legends,58000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/carrier/Legends
Low Altitude Assault Transport/infantry,85000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/infantry
Low Altitude Assault Transport/infantry/Legends,,No,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/infantry/Legends
Lucrehulk-class battleship/Legends,,Yes,https://starwars.fandom.com/wiki/Lucrehulk-class_battleship/Legends
M-Class Imperial Attack Transport,,No,https://starwars.fandom.com/wiki/M-Class_Imperial_Attack_Transport
M3-A Scyk interceptor,55000,Yes,https://starwars.fandom.com/wiki/M3-A_Scyk_interceptor
Maelstrom-class battle cruiser,158000000,Yes,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser
Maelstrom-class battle cruiser/Legends,158000000,Yes,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser/Legends
Maintenance Carrier,,No,https://starwars.fandom.com/wiki/Maintenance_Carrier
Mandator III-class dreadnought,,No,https://starwars.fandom.com/wiki/Mandator_III-class_dreadnought
Mandator-class Dreadnaught,,No,https://starwars.fandom.com/wiki/Mandator-class_Dreadnaught
Marauder-class Assault Corvette/Legends,,No,https://starwars.fandom.com/wiki/Marauder-class_Assault_Corvette/Legends
Max-7 Rono box freighter,,No,https://starwars.fandom.com/wiki/Max-7_Rono_box_freighter
MC80A Home One Type Heavy Star Cruiser,112000000,Yes,https://starwars.fandom.com/wiki/MC80A_Home_One_Type_Heavy_Star_Cruiser
MedStar-class frigate/Legends,4875000,Yes,https://starwars.fandom.com/wiki/MedStar-class_frigate/Legends
Missile Boat,,Yes,https://starwars.fandom.com/wiki/Missile_Boat
Mobile repair base,,No,https://starwars.fandom.com/wiki/Mobile_repair_base
MRX-BR Pacifier,170000,Yes,https://starwars.fandom.com/wiki/MRX-BR_Pacifier
MT/191 drop-ship,,No,https://starwars.fandom.com/wiki/MT/191_drop-ship
Mu-class shuttle (Model 1),,No,https://starwars.fandom.com/wiki/Mu-class_shuttle_(Model_1)
Mu-2 long range shuttle,,No,https://starwars.fandom.com/wiki/Mu-2_long_range_shuttle
Mu-3 Shuttle,,No,https://starwars.fandom.com/wiki/Mu-3_Shuttle
Mu-class shuttle/Legends,,No,https://starwars.fandom.com/wiki/Mu-class_shuttle/Legends
Multi-Altitude Assault Transport,,No,https://starwars.fandom.com/wiki/Multi-Altitude_Assault_Transport
Munifex-class light cruiser,,No,https://starwars.fandom.com/wiki/Munifex-class_light_cruiser
Nebulon-B2 frigate,,No,https://starwars.fandom.com/wiki/Nebulon-B2_frigate
Neutron Star-class bulk cruiser carrier conversion,5000000,Yes,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser_carrier_conversion
Neutron Star-class bulk cruiser/Legends,5000000,Yes,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser/Legends
Nu-class attack shuttle/Legends,85000,Yes,https://starwars.fandom.com/wiki/Nu-class_attack_shuttle/Legends
Nu-class attack/transport shuttle,85000,Yes,https://starwars.fandom.com/wiki/Nu-class_attack/transport_shuttle
Omega-class freighter,,No,https://starwars.fandom.com/wiki/Omega-class_freighter
Onager-class Star Destroyer,376500000,Yes,https://starwars.fandom.com/wiki/Onager-class_Star_Destroyer
Ore carrier/Legends,,No,https://starwars.fandom.com/wiki/Ore_carrier/Legends
"""Out System"" Scout Vessel",,No,"https://starwars.fandom.com/wiki/""Out_System""_Scout_Vessel"
Patrol barge,,No,https://starwars.fandom.com/wiki/Patrol_barge
PB-950 patrol boat,150000,Yes,https://starwars.fandom.com/wiki/PB-950_patrol_boat
Peacekeeper (starship),,No,https://starwars.fandom.com/wiki/Peacekeeper_(starship)
Pelta-class frigate/Legends,,Yes,https://starwars.fandom.com/wiki/Pelta-class_frigate/Legends
Pelta-class Medical Frigate,,No,https://starwars.fandom.com/wiki/Pelta-class_Medical_Frigate
Praetor II-class ship,,No,https://starwars.fandom.com/wiki/Praetor_II-class_ship
Praetor Mark II-class battlecruiser,700000000,Yes,https://starwars.fandom.com/wiki/Praetor_Mark_II-class_battlecruiser
Praetor-class Star Battlecruiser/Legends,,No,https://starwars.fandom.com/wiki/Praetor-class_Star_Battlecruiser/Legends
Predator I,,No,https://starwars.fandom.com/wiki/Predator_I
Probe-Mate hyperspace pod,22500,Yes,https://starwars.fandom.com/wiki/Probe-Mate_hyperspace_pod
Procursator-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Procursator-class_Star_Destroyer
Purgatory-class prison ship,,Yes,https://starwars.fandom.com/wiki/Purgatory-class_prison_ship
Pursuit-class light cruiser,,No,https://starwars.fandom.com/wiki/Pursuit-class_light_cruiser
Qaz-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Qaz-class_Star_Destroyer
Quasar Fire I-class Cruiser-Carrier,,No,https://starwars.fandom.com/wiki/Quasar_Fire_I-class_Cruiser-Carrier
Quasar Fire II-class Cruiser-Carrier,,No,https://starwars.fandom.com/wiki/Quasar_Fire_II-class_Cruiser-Carrier
Quasar Fire-class cruiser-carrier,1750000,Yes,https://starwars.fandom.com/wiki/Quasar_Fire-class_cruiser-carrier
Raider I-class corvette,3000000,Yes,https://starwars.fandom.com/wiki/Raider_I-class_corvette
Raider I-class corvette/Legends,,No,https://starwars.fandom.com/wiki/Raider_I-class_corvette/Legends
Raider II-class corvette,,No,https://starwars.fandom.com/wiki/Raider_II-class_corvette
Raider II-class corvette/Legends,,No,https://starwars.fandom.com/wiki/Raider_II-class_corvette/Legends
Raider-class corvette,,No,https://starwars.fandom.com/wiki/Raider-class_corvette
Raider-class corvette/Legends,3000000,Yes,https://starwars.fandom.com/wiki/Raider-class_corvette/Legends
Razor-class frigate,,No,https://starwars.fandom.com/wiki/Razor-class_frigate
Repair barge,,No,https://starwars.fandom.com/wiki/Repair_barge
Rho-class shuttle (Transorb),,No,https://starwars.fandom.com/wiki/Rho-class_shuttle_(Transorb)
Rho-class transport shuttle,,No,https://starwars.fandom.com/wiki/Rho-class_transport_shuttle
S-46I Medium Scout Ship,524000,Yes,https://starwars.fandom.com/wiki/S-46I_Medium_Scout_Ship
Scimitar assault bomber,120000,Yes,https://starwars.fandom.com/wiki/Scimitar_assault_bomber
Scimitar Mark II,,No,https://starwars.fandom.com/wiki/Scimitar_Mark_II
Scout ship (TIE model),,No,https://starwars.fandom.com/wiki/Scout_ship_(TIE_model)
Secutor-class Star Destroyer,200000000,Yes,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer
Secutor-class Star Destroyer/Legends,200000000,Yes,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer/Legends
Sentinel-class landing craft,240000,Yes,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft
Sentinel-class landing craft/Legends,240000,Yes,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft/Legends
Shadow Droid,,Yes,https://starwars.fandom.com/wiki/Shadow_Droid
Shell-cracker prototype,,No,https://starwars.fandom.com/wiki/Shell-cracker_prototype
Siege platform/Legends,,No,https://starwars.fandom.com/wiki/Siege_platform/Legends
Skim fighter,,No,https://starwars.fandom.com/wiki/Skim_fighter
Skywatcher-class deep space scout ship,120000,Yes,https://starwars.fandom.com/wiki/Skywatcher-class_deep_space_scout_ship
Snoopship,,No,https://starwars.fandom.com/wiki/Snoopship
Sorannan-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Sorannan-class_Star_Destroyer
Sovereign-class Super Star Destroyer,2500000000,Yes,https://starwars.fandom.com/wiki/Sovereign-class_Super_Star_Destroyer
Spiral-class Assault Ship,,No,https://starwars.fandom.com/wiki/Spiral-class_Assault_Ship
SS-39 Space Skiff,12500,Yes,https://starwars.fandom.com/wiki/SS-39_Space_Skiff
Star Galleon-class frigate,17503500,Yes,https://starwars.fandom.com/wiki/Star_Galleon-class_frigate
Starcutter/Legends,,No,https://starwars.fandom.com/wiki/Starcutter/Legends
STC003 Starcrasher,,No,https://starwars.fandom.com/wiki/STC003_Starcrasher
Stormtrooper transport (Skorii-Lei),,No,https://starwars.fandom.com/wiki/Stormtrooper_transport_(Skorii-Lei)
Strike-class medium cruiser,17000000,Yes,https://starwars.fandom.com/wiki/Strike-class_medium_cruiser
Super freighter,,No,https://starwars.fandom.com/wiki/Super_freighter
Super Transport XI,35000000,Yes,https://starwars.fandom.com/wiki/Super_Transport_XI
Super-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Super-class_Star_Destroyer
Supertanker fuel depot,,No,https://starwars.fandom.com/wiki/Supertanker_fuel_depot
Supply carrier/Legends,,No,https://starwars.fandom.com/wiki/Supply_carrier/Legends
Survey Frigate,,No,https://starwars.fandom.com/wiki/Survey_Frigate
Surveyor-class reconnaissance frigate,9600000,Yes,https://starwars.fandom.com/wiki/Surveyor-class_reconnaissance_frigate
Surveyor-class reconnaissance frigate/Legends,9600000,Yes,https://starwars.fandom.com/wiki/Surveyor-class_reconnaissance_frigate/Legends
SX troop transport,,No,https://starwars.fandom.com/wiki/SX_troop_transport
T-2 Ramsidian-class yacht,,No,https://starwars.fandom.com/wiki/T-2_Ramsidian-class_yacht
T-5 Deliverance,,No,https://starwars.fandom.com/wiki/T-5_Deliverance
Tagge battlecruiser,,No,https://starwars.fandom.com/wiki/Tagge_battlecruiser
Tartan-class patrol cruiser,4200000,Yes,https://starwars.fandom.com/wiki/Tartan-class_patrol_cruiser
Tech 4 PDV,,Yes,https://starwars.fandom.com/wiki/Tech_4_PDV
Tector-class,,No,https://starwars.fandom.com/wiki/Tector-class
Tector-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Tector-class_Star_Destroyer
Temple-class heavy freighter,,No,https://starwars.fandom.com/wiki/Temple-class_heavy_freighter
Theta-class barge,,No,https://starwars.fandom.com/wiki/Theta-class_barge
Theta-class barge/Legends,,No,https://starwars.fandom.com/wiki/Theta-class_barge/Legends
Theta-class T-2c shuttle,,No,https://starwars.fandom.com/wiki/Theta-class_T-2c_shuttle
Theta-class T-2c shuttle/Legends,,Yes,https://starwars.fandom.com/wiki/Theta-class_T-2c_shuttle/Legends
Thran-class vessel,,No,https://starwars.fandom.com/wiki/Thran-class_vessel
TIE Advanced x1,160000,Yes,https://starwars.fandom.com/wiki/TIE_Advanced_x1
TIE Advanced x1/Legends,,No,https://starwars.fandom.com/wiki/TIE_Advanced_x1/Legends
TIE Advanced x7,,No,https://starwars.fandom.com/wiki/TIE_Advanced_x7
TIE Advanced x7/Legends,,No,https://starwars.fandom.com/wiki/TIE_Advanced_x7/Legends
TIE Avenger prototype,,No,https://starwars.fandom.com/wiki/TIE_Avenger_prototype
TIE boarding craft,150000,Yes,https://starwars.fandom.com/wiki/TIE_boarding_craft
TIE bomber-shuttle conversion,,No,https://starwars.fandom.com/wiki/TIE_bomber-shuttle_conversion
TIE Heavy Bomber,,No,https://starwars.fandom.com/wiki/TIE_Heavy_Bomber
TIE infiltrator,,No,https://starwars.fandom.com/wiki/TIE_infiltrator
TIE lander,,No,https://starwars.fandom.com/wiki/TIE_lander
TIE lander/Legends,,No,https://starwars.fandom.com/wiki/TIE_lander/Legends
TIE Light Duty,,No,https://starwars.fandom.com/wiki/TIE_Light_Duty
TIE Oppressor,,Yes,https://starwars.fandom.com/wiki/TIE_Oppressor
TIE scout,,No,https://starwars.fandom.com/wiki/TIE_scout
TIE Sentinel,,No,https://starwars.fandom.com/wiki/TIE_Sentinel
TIE training drone,,No,https://starwars.fandom.com/wiki/TIE_training_drone
TIE/ad starfighter,400000,Yes,https://starwars.fandom.com/wiki/TIE/ad_starfighter
"TIE/ag ""Aggressor"" Starfighter",75000,Yes,"https://starwars.fandom.com/wiki/TIE/ag_""Aggressor""_Starfighter"
"TIE/ag ""Aggressor"" Starfighter/Legends",75000,Yes,"https://starwars.fandom.com/wiki/TIE/ag_""Aggressor""_Starfighter/Legends"
TIE/br boarding shuttle,,No,https://starwars.fandom.com/wiki/TIE/br_boarding_shuttle
"TIE/ca ""Punisher"" Starfighter",253000,Yes,"https://starwars.fandom.com/wiki/TIE/ca_""Punisher""_Starfighter"
TIE/ca Punisher/Legends,253000,Yes,https://starwars.fandom.com/wiki/TIE/ca_Punisher/Legends
"TIE/d ""Defender"" Multi-Role Starfighter",300000,Yes,"https://starwars.fandom.com/wiki/TIE/d_""Defender""_Multi-Role_Starfighter"
"TIE/d ""Defender"" Multi-Role Starfighter/Legends",300000,Yes,"https://starwars.fandom.com/wiki/TIE/d_""Defender""_Multi-Role_Starfighter/Legends"
TIE/D Defender Elite,310000,Yes,https://starwars.fandom.com/wiki/TIE/D_Defender_Elite
TIE/es assault shuttle,,No,https://starwars.fandom.com/wiki/TIE/es_assault_shuttle
TIE/fc,,No,https://starwars.fandom.com/wiki/TIE/fc
TIE/fc starfighter,,No,https://starwars.fandom.com/wiki/TIE/fc_starfighter
TIE/gt,,No,https://starwars.fandom.com/wiki/TIE/gt
TIE/gt starfighter,,No,https://starwars.fandom.com/wiki/TIE/gt_starfighter
"TIE/hu ""Hunter"" Multi-Role Starfighter",100000,Yes,"https://starwars.fandom.com/wiki/TIE/hu_""Hunter""_Multi-Role_Starfighter"
TIE/IN interceptor,120000,Yes,https://starwars.fandom.com/wiki/TIE/IN_interceptor
TIE/IN interceptor/Legends,75000,Yes,https://starwars.fandom.com/wiki/TIE/IN_interceptor/Legends
TIE/ln space superiority starfighter,60000,Yes,https://starwars.fandom.com/wiki/TIE/ln_space_superiority_starfighter
TIE/ln space superiority starfighter/Legends,60000,Yes,https://starwars.fandom.com/wiki/TIE/ln_space_superiority_starfighter/Legends
TIE/mg Mining Guild starfighter,40000,Yes,https://starwars.fandom.com/wiki/TIE/mg_Mining_Guild_starfighter
"TIE/ph ""Phantom"" Multi-Role Stealth Starfighter",365000,Yes,"https://starwars.fandom.com/wiki/TIE/ph_""Phantom""_Multi-Role_Stealth_Starfighter"
"TIE/ph ""Phantom"" Multi-Role Stealth Starfighter/Legends",365000,Yes,"https://starwars.fandom.com/wiki/TIE/ph_""Phantom""_Multi-Role_Stealth_Starfighter/Legends"
TIE/rb heavy starfighter,90000,Yes,https://starwars.fandom.com/wiki/TIE/rb_heavy_starfighter
TIE/rc,,No,https://starwars.fandom.com/wiki/TIE/rc
TIE/rc starfighter,,No,https://starwars.fandom.com/wiki/TIE/rc_starfighter
TIE/rc vanguard,,No,https://starwars.fandom.com/wiki/TIE/rc_vanguard
TIE/rp Reaper attack lander,140000,Yes,https://starwars.fandom.com/wiki/TIE/rp_Reaper_attack_lander
TIE/rpt starfighter,,No,https://starwars.fandom.com/wiki/TIE/rpt_starfighter
TIE/sa tactical bomber,150000,Yes,https://starwars.fandom.com/wiki/TIE/sa_tactical_bomber
TIE/sa tactical bomber/Legends,,No,https://starwars.fandom.com/wiki/TIE/sa_tactical_bomber/Legends
TIE/sh shuttle,150000,Yes,https://starwars.fandom.com/wiki/TIE/sh_shuttle
TIE/sh VIP shuttle,120000,Yes,https://starwars.fandom.com/wiki/TIE/sh_VIP_shuttle
TIE/sk x1 experimental air superiority fighter,50000,Yes,https://starwars.fandom.com/wiki/TIE/sk_x1_experimental_air_superiority_fighter
TIE/sr,,No,https://starwars.fandom.com/wiki/TIE/sr
TIE/sr starfighter,148000,Yes,https://starwars.fandom.com/wiki/TIE/sr_starfighter
Ton-Falk-class escort carrier,3500000,Yes,https://starwars.fandom.com/wiki/Ton-Falk-class_escort_carrier
Torpedo Sphere/Legends,327830000,Yes,https://starwars.fandom.com/wiki/Torpedo_Sphere/Legends
Tractor tug,,No,https://starwars.fandom.com/wiki/Tractor_tug
Transport capsule,,No,https://starwars.fandom.com/wiki/Transport_capsule
Trantor-class supertanker fuel depot,,No,https://starwars.fandom.com/wiki/Trantor-class_supertanker_fuel_depot
Trenchant-class cruiser,,No,https://starwars.fandom.com/wiki/Trenchant-class_cruiser
Tribune-class shuttle,150000,Yes,https://starwars.fandom.com/wiki/Tribune-class_shuttle
Twin-pod paracapsule,,No,https://starwars.fandom.com/wiki/Twin-pod_paracapsule
U-33 orbital loadlifter,,No,https://starwars.fandom.com/wiki/U-33_orbital_loadlifter
Unidentified Imperial starship,,No,https://starwars.fandom.com/wiki/Unidentified_Imperial_starship
Unidentified TIE variant,,No,https://starwars.fandom.com/wiki/Unidentified_TIE_variant
Unidentified TIE variant (Selk),,No,https://starwars.fandom.com/wiki/Unidentified_TIE_variant_(Selk)
Unidentified transport class,,No,https://starwars.fandom.com/wiki/Unidentified_transport_class
Utility Tug/Legends,,No,https://starwars.fandom.com/wiki/Utility_Tug/Legends
V-19 Torrent starfighter,75000,Yes,https://starwars.fandom.com/wiki/V-19_Torrent_starfighter
V-19 Torrent starfighter/Legends,135000,Yes,https://starwars.fandom.com/wiki/V-19_Torrent_starfighter/Legends
V-82 dropship,,No,https://starwars.fandom.com/wiki/V-82_dropship
V38 assault fighter,,No,https://starwars.fandom.com/wiki/V38_assault_fighter
Vanguard-class heavy assault gunship,,No,https://starwars.fandom.com/wiki/Vanguard-class_heavy_assault_gunship
Venator II-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Venator_II-class_Star_Destroyer
Venator-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Venator-class_Star_Destroyer
Venator-class Star Destroyer/Legends,59000000,Yes,https://starwars.fandom.com/wiki/Venator-class_Star_Destroyer/Legends
Vengeance-class dreadnought,,No,https://starwars.fandom.com/wiki/Vengeance-class_dreadnought
Vengeance-class frigate,,No,https://starwars.fandom.com/wiki/Vengeance-class_frigate
Vibre-class assault cruiser,2259000,Yes,https://starwars.fandom.com/wiki/Vibre-class_assault_cruiser
Victory I-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Victory_I-class_Star_Destroyer
Victory I-class Star Destroyer/Legends,57000000,Yes,https://starwars.fandom.com/wiki/Victory_I-class_Star_Destroyer/Legends
Victory II-class frigate,,No,https://starwars.fandom.com/wiki/Victory_II-class_frigate
Victory II-class Star Destroyer,50000000,Yes,https://starwars.fandom.com/wiki/Victory_II-class_Star_Destroyer
Victory II-class Star Destroyer/Legends,50000000,Yes,https://starwars.fandom.com/wiki/Victory_II-class_Star_Destroyer/Legends
Vigil-class corvette,3500000,Yes,https://starwars.fandom.com/wiki/Vigil-class_corvette
Vindicator-class heavy cruiser,,No,https://starwars.fandom.com/wiki/Vindicator-class_heavy_cruiser
Vindicator-class heavy cruiser/Legends,10400000,Yes,https://starwars.fandom.com/wiki/Vindicator-class_heavy_cruiser/Legends
VT-49 Decimator,160000,Yes,https://starwars.fandom.com/wiki/VT-49_Decimator
VT-49 Decimator/Legends,160000,Yes,https://starwars.fandom.com/wiki/VT-49_Decimator/Legends
Warden-class light cruiser,,No,https://starwars.fandom.com/wiki/Warden-class_light_cruiser
Warlord Dropship,,No,https://starwars.fandom.com/wiki/Warlord_Dropship
World Devastator,,No,https://starwars.fandom.com/wiki/World_Devastator
Worldcraft,,No,https://starwars.fandom.com/wiki/Worldcraft
X-26 StarHaul,400000,Yes,https://starwars.fandom.com/wiki/X-26_StarHaul
X-fighter,,No,https://starwars.fandom.com/wiki/X-fighter
X3-13,,No,https://starwars.fandom.com/wiki/X3-13
Xiytiar-class heavy transport,,No,https://starwars.fandom.com/wiki/Xiytiar-class_heavy_transport
Xiytiar-class heavy transport/Legends,800000,Yes,https://starwars.fandom.com/wiki/Xiytiar-class_heavy_transport/Legends
XL-5 Guardian force reconnaissance ship,,No,https://starwars.fandom.com/wiki/XL-5_Guardian_force_reconnaissance_ship
Y-4 Transport,250000,Yes,https://starwars.fandom.com/wiki/Y-4_Transport
Y-45 armored transport hauler,,No,https://starwars.fandom.com/wiki/Y-45_armored_transport_hauler
Y-85 Titan dropship,,No,https://starwars.fandom.com/wiki/Y-85_Titan_dropship
Y-85 Titan dropship/Legends,,No,https://starwars.fandom.com/wiki/Y-85_Titan_dropship/Legends
Ye-4 gunship,,Yes,https://starwars.fandom.com/wiki/Ye-4_gunship
Zebulon-B frigate,,No,https://starwars.fandom.com/wiki/Zebulon-B_frigate
Zeta-class Heavy Cargo Shuttle,95000,Yes,https://starwars.fandom.com/wiki/Zeta-class_Heavy_Cargo_Shuttle
